mdl,agnews,amazon_counterfactual,amazon_massive_scenario,amazonpolarity,appreviews,banking77,biasframes_intent,biasframes_offensive,biasframes_sex,capsotu,emotiondair,empathetic,financialphrasebank,imdb,manifesto,massive,mtop_domain,rottentomatoes,toxic_conversations_50k,trueteacher,tweet_sentiment_extraction,wikitoxic_insult,wikitoxic_obscene,wikitoxic_threat,wikitoxic_toxicaggregated,yahootopics,yelpreviews
bert-large-uncased,0.26499998569488525,0.2507462799549103,0.05000000074505806,0.4790000021457672,0.5120000243186951,0.03099999949336052,0.4399999976158142,0.5720000267028809,0.9139999747276306,0.0949999988079071,0.19699999690055847,0.028999999165534973,0.5623188614845276,0.5199999809265137,0.017000000923871994,0.009999999776482582,0.1509999930858612,0.5187617540359497,0.5335000157356262,0.49399998784065247,0.41499999165534973,0.5759999752044678,0.5839999914169312,0.7760000228881836,0.5540000200271606,0.12999999523162842,0.5180000066757202
deberta-v3-large,0.2759999930858612,0.6626865863800049,0.029999999329447746,0.4869999885559082,0.5120000243186951,0.027000000700354576,0.4749999940395355,0.5789999961853027,0.125,0.014999999664723873,0.19699999690055847,0.032999999821186066,0.3971014618873596,0.4869999885559082,0.03700000047683716,0.0020000000949949026,0.09399999678134918,0.501876175403595,0.5049999952316284,0.5059999823570251,0.31700000166893005,0.6489999890327454,0.6399999856948853,0.8560000061988831,0.5789999961853027,0.10700000077486038,0.5199999809265137
ModernBERT-large,0.24199999868869781,0.8268656730651855,0.08900000154972076,0.4860000014305115,0.49900001287460327,0.032999999821186066,0.48399999737739563,0.5329999923706055,0.722000002861023,0.027000000700354576,0.1420000046491623,0.020999999716877937,0.5695652365684509,0.5130000114440918,0.009999999776482582,0.020999999716877937,0.12600000202655792,0.5,0.4964999854564667,0.5090000033378601,0.328000009059906,0.460999995470047,0.5899999737739563,0.13600000739097595,0.6039999723434448,0.15199999511241913,0.5139999985694885
bart-large-mnli,0.7269999980926514,0.17611940205097198,0.515999972820282,0.9330000281333923,0.9210000038146973,0.28700000047683716,0.6320000290870667,0.5690000057220459,0.07500000298023224,0.39399999380111694,0.5049999952316284,0.3889999985694885,0.41884058713912964,0.9290000200271606,0.09000000357627869,0.4300000071525574,0.8399999737739563,0.8330206274986267,0.5734999775886536,0.5149999856948853,0.6230000257492065,0.41999998688697815,0.6930000185966492,0.08399999886751175,0.6069999933242798,0.30300000309944153,0.9589999914169312
nli-roberta-base,0.7049999833106995,0.22686567902565002,0.2770000100135803,0.8870000243186951,0.8939999938011169,0.07500000298023224,0.5149999856948853,0.5830000042915344,0.1860000044107437,0.23000000417232513,0.33899998664855957,0.3240000009536743,0.45072463154792786,0.8320000171661377,0.020999999716877937,0.3569999933242798,0.43299999833106995,0.7983114719390869,0.6554999947547913,0.4830000102519989,0.6119999885559082,0.5630000233650208,0.7129999995231628,0.1379999965429306,0.7020000219345093,0.4059999883174896,0.8859999775886536
bert-base-uncased-nli,0.6850000023841858,0.21194030344486237,0.21400000154972076,0.8629999756813049,0.8379999995231628,0.019999999552965164,0.5630000233650208,0.5669999718666077,0.5260000228881836,0.019999999552965164,0.3880000114440918,0.15199999511241913,0.4000000059604645,0.7940000295639038,0.017000000923871994,0.2849999964237213,0.6169999837875366,0.7570356726646423,0.5795000195503235,0.492000013589859,0.6370000243186951,0.7609999775886536,0.7680000066757202,0.2930000126361847,0.6470000147819519,0.382999986410141,0.8870000243186951
bert-large-uncased-nli,0.7480000257492065,0.4298507571220398,0.38499999046325684,0.8399999737739563,0.8550000190734863,0.08100000023841858,0.6069999933242798,0.5989999771118164,0.7559999823570251,0.21799999475479126,0.5479999780654907,0.12600000202655792,0.647826075553894,0.8100000023841858,0.01600000075995922,0.3490000069141388,0.4050000011920929,0.7176360487937927,0.5529999732971191,0.49399998784065247,0.6520000100135803,0.8149999976158142,0.7940000295639038,0.7540000081062317,0.6740000247955322,0.2549999952316284,0.8970000147819519
bert-large-uncased-nli-triplet,0.7319999933242798,0.38805970549583435,0.29600000381469727,0.8399999737739563,0.8500000238418579,0.0689999982714653,0.6039999723434448,0.6690000295639038,0.5270000100135803,0.24300000071525574,0.296999990940094,0.2070000022649765,0.5855072736740112,0.7879999876022339,0.024000000208616257,0.3720000088214874,0.460999995470047,0.7260788083076477,0.5874999761581421,0.49000000953674316,0.6510000228881836,0.7269999980926514,0.8349999785423279,0.4950000047683716,0.777999997138977,0.4169999957084656,0.8970000147819519
deberta-v3-base-nli,0.7639999985694885,0.17313432693481445,0.49399998784065247,0.8980000019073486,0.9100000262260437,0.12700000405311584,0.5139999985694885,0.6000000238418579,0.5529999732971191,0.23399999737739563,0.3790000081062317,0.3179999887943268,0.6710144877433777,0.9139999747276306,0.05299999937415123,0.32899999618530273,0.652999997138977,0.8236397504806519,0.6915000081062317,0.4909999966621399,0.6290000081062317,0.6809999942779541,0.8320000171661377,0.4569999873638153,0.7839999794960022,0.5289999842643738,0.9300000071525574
deberta-v3-large-nli,0.8140000104904175,0.18208955228328705,0.5440000295639038,0.9229999780654907,0.9279999732971191,0.3610000014305115,0.6710000038146973,0.6349999904632568,0.2980000078678131,0.2280000001192093,0.4909999966621399,0.4580000042915344,0.8246376514434814,0.902999997138977,0.10899999737739563,0.43799999356269836,0.7549999952316284,0.8489680886268616,0.7289999723434448,0.49799999594688416,0.6669999957084656,0.6129999756813049,0.8190000057220459,0.3700000047683716,0.7990000247955322,0.6019999980926514,0.9829999804496765
deberta-v3-large-nli-triplet,0.8320000171661377,0.34328359365463257,0.5709999799728394,0.9290000200271606,0.9300000071525574,0.24400000274181366,0.6990000009536743,0.6669999957084656,0.296999990940094,0.27300000190734863,0.4390000104904175,0.4230000078678131,0.8188405632972717,0.9269999861717224,0.09300000220537186,0.4230000078678131,0.5099999904632568,0.8377110958099365,0.718500018119812,0.5130000114440918,0.6439999938011169,0.6940000057220459,0.8429999947547913,0.5659999847412109,0.8230000138282776,0.37299999594688416,0.9810000061988831
modernbert-base-nli,0.7509999871253967,0.6805970072746277,0.3619999885559082,0.9110000133514404,0.9079999923706055,0.08799999952316284,0.5189999938011169,0.6209999918937683,0.8360000252723694,0.18199999630451202,0.28299999237060547,0.29499998688697815,0.6072463989257812,0.890999972820282,0.02800000086426735,0.2770000100135803,0.46700000762939453,0.7514071464538574,0.6840000152587891,0.5,0.6169999837875366,0.75,0.7099999785423279,0.32600000500679016,0.75,0.4440000057220459,0.9599999785423279
modernbert-large-nli,0.7580000162124634,0.4298507571220398,0.39500001072883606,0.9330000281333923,0.9200000166893005,0.23999999463558197,0.6320000290870667,0.5860000252723694,0.5479999780654907,0.08799999952316284,0.28299999237060547,0.31299999356269836,0.695652186870575,0.9139999747276306,0.09799999743700027,0.3880000114440918,0.5889999866485596,0.8649155497550964,0.6934999823570251,0.5180000066757202,0.6589999794960022,0.6069999933242798,0.8119999766349792,0.5889999866485596,0.734000027179718,0.5440000295639038,0.9789999723434448
modernbert-large-nli-triplet,0.7160000205039978,0.39701491594314575,0.47600001096725464,0.9290000200271606,0.9200000166893005,0.21799999475479126,0.6019999980926514,0.5979999899864197,0.3970000147819519,0.12800000607967377,0.36800000071525574,0.335999995470047,0.7318840622901917,0.9110000133514404,0.07699999958276749,0.4440000057220459,0.6740000247955322,0.8714821934700012,0.699999988079071,0.5109999775886536,0.6809999942779541,0.6729999780654907,0.8040000200271606,0.5429999828338623,0.7440000176429749,0.28600001335144043,0.9789999723434448
ms-marco-MiniLM-L6-v2,0.4180000126361847,0.7552238702774048,0.08299999684095383,0.6880000233650208,0.7120000123977661,0.2199999988079071,0.6169999837875366,0.6169999837875366,0.7459999918937683,0.3230000138282776,0.20399999618530273,0.1809999942779541,0.2869565188884735,0.625,0.14000000059604645,0.039000000804662704,0.2290000021457672,0.5787992477416992,0.5260000228881836,0.5180000066757202,0.41999998688697815,0.5270000100135803,0.5509999990463257,0.6539999842643738,0.5019999742507935,0.3269999921321869,0.6539999842643738
gte-reranker-modernbert-base,0.7120000123977661,0.6716417670249939,0.5440000295639038,0.9120000004768372,0.9169999957084656,0.6349999904632568,0.4699999988079071,0.5239999890327454,0.8489999771118164,0.47999998927116394,0.5210000276565552,0.39399999380111694,0.4739130437374115,0.8410000205039978,0.25600001215934753,0.5659999847412109,0.597000002861023,0.8020637631416321,0.5885000228881836,0.5979999899864197,0.6179999709129333,0.5479999780654907,0.5659999847412109,0.6010000109672546,0.546999990940094,0.3880000114440918,0.9629999995231628
bge-reranker-base,0.6549999713897705,0.420895516872406,0.460999995470047,0.6639999747276306,0.7910000085830688,0.4860000014305115,0.5019999742507935,0.4790000021457672,0.34599998593330383,0.43799999356269836,0.35499998927116394,0.2759999930858612,0.35217392444610596,0.6949999928474426,0.2720000147819519,0.44600000977516174,0.7739999890327454,0.5759850144386292,0.5690000057220459,0.4729999899864197,0.5860000252723694,0.46000000834465027,0.550000011920929,0.3109999895095825,0.5730000138282776,0.47200000286102295,0.6510000228881836
bge-reranker-large,0.7419999837875366,0.5044776201248169,0.4970000088214874,0.8700000047683716,0.890999972820282,0.5569999814033508,0.597000002861023,0.5789999961853027,0.2070000022649765,0.5170000195503235,0.41499999165534973,0.3400000035762787,0.48260870575904846,0.8040000200271606,0.3199999928474426,0.4749999940395355,0.8220000267028809,0.7560975551605225,0.6389999985694885,0.4490000009536743,0.609000027179718,0.4449999928474426,0.5559999942779541,0.15800000727176666,0.6150000095367432,0.593999981880188,0.8790000081062317
Qwen3-Reranker-0.6B,0.7960000038146973,0.2626865804195404,0.6629999876022339,0.9120000004768372,0.8870000243186951,0.625,0.5649999976158142,0.6439999938011169,0.07900000363588333,0.5899999737739563,0.5460000038146973,0.4189999997615814,0.37826088070869446,0.8840000033378601,0.4009999930858612,0.5249999761581421,0.7950000166893005,0.7833020687103271,0.6489999890327454,0.5049999952316284,0.6159999966621399,0.7480000257492065,0.8059999942779541,0.6959999799728394,0.7919999957084656,0.6079999804496765,0.9459999799728394
Qwen3-Reranker-8B,0.8019999861717224,0.47164177894592285,0.753000020980835,0.9570000171661377,0.9290000200271606,0.6740000247955322,0.7549999952316284,0.7760000228881836,0.8240000009536743,0.6809999942779541,0.5609999895095825,0.48899999260902405,0.8449275493621826,0.949999988079071,0.4560000002384186,0.7160000205039978,0.8100000023841858,0.903377115726471,0.7400000095367432,0.5170000195503235,0.6539999842643738,0.8220000267028809,0.8790000081062317,0.7799999713897705,0.8569999933242798,0.6710000038146973,0.9819999933242798
all-MiniLM-L6-v2,0.5,0.17313432693481445,0.47099998593330383,0.48899999260902405,0.5320000052452087,0.4410000145435333,0.5289999842643738,0.5049999952316284,0.7730000019073486,0.5289999842643738,0.1080000028014183,0.17299999296665192,0.4231884181499481,0.49300000071525574,0.3019999861717224,0.33799999952316284,0.6579999923706055,0.4990619122982025,0.4909999966621399,0.49000000953674316,0.39800000190734863,0.4099999964237213,0.503000020980835,0.3009999990463257,0.5329999923706055,0.38199999928474426,0.4869999885559082
e5-base-v2,0.7680000066757202,0.3283582031726837,0.5509999990463257,0.9259999990463257,0.9269999861717224,0.6200000047683716,0.6190000176429749,0.6169999837875366,0.2070000022649765,0.5889999866485596,0.5059999823570251,0.4099999964237213,0.4275362193584442,0.8980000019073486,0.3569999933242798,0.4860000014305115,0.8360000252723694,0.8367729783058167,0.6504999995231628,0.4869999885559082,0.597000002861023,0.7429999709129333,0.6460000276565552,0.3610000014305115,0.6790000200271606,0.6179999709129333,0.9509999752044678
e5-large-v2,0.7929999828338623,0.6626865863800049,0.5849999785423279,0.9430000185966492,0.9100000262260437,0.5630000233650208,0.5440000295639038,0.5210000276565552,0.49799999594688416,0.5479999780654907,0.49000000953674316,0.4320000112056732,0.4492753744125366,0.9279999732971191,0.33899998664855957,0.5099999904632568,0.8349999785423279,0.8545966148376465,0.6100000143051147,0.47999998927116394,0.5920000076293945,0.5350000262260437,0.6639999747276306,0.3330000042915344,0.6949999928474426,0.5619999766349792,0.9760000109672546
e5-mistral-7b-instruct,0.7799999713897705,0.23582088947296143,0.7059999704360962,0.9399999976158142,0.9319999814033508,0.6499999761581421,0.6779999732971191,0.6019999980926514,0.08100000023841858,0.6190000176429749,0.5450000166893005,0.5389999747276306,0.573913037776947,0.9150000214576721,0.5,0.6679999828338623,0.8809999823570251,0.8442776799201965,0.6589999794960022,0.48100000619888306,0.6430000066757202,0.4620000123977661,0.43299999833106995,0.0949999988079071,0.5059999823570251,0.7120000123977661,0.9829999804496765
bge-base-en-v1.5,0.6489999890327454,0.5134328603744507,0.5419999957084656,0.9300000071525574,0.9039999842643738,0.6449999809265137,0.5820000171661377,0.6039999723434448,0.1679999977350235,0.5789999961853027,0.5249999761581421,0.3490000069141388,0.3942028880119324,0.8970000147819519,0.33500000834465027,0.5619999766349792,0.8320000171661377,0.8142589330673218,0.640999972820282,0.4819999933242798,0.6119999885559082,0.49900001287460327,0.6819999814033508,0.17399999499320984,0.7260000109672546,0.5929999947547913,0.9440000057220459
bge-large-en-v1.5,0.7710000276565552,0.3910447657108307,0.5809999704360962,0.9480000138282776,0.9190000295639038,0.6769999861717224,0.5789999961853027,0.5669999718666077,0.12800000607967377,0.6050000190734863,0.5450000166893005,0.38600000739097595,0.4072463810443878,0.9350000023841858,0.42500001192092896,0.5249999761581421,0.8759999871253967,0.8245778679847717,0.6934999823570251,0.4729999899864197,0.6240000128746033,0.4880000054836273,0.4959999918937683,0.11100000143051147,0.5659999847412109,0.6349999904632568,0.9509999752044678
gte-base-en-v1.5,0.7580000162124634,0.4298507571220398,0.6179999709129333,0.8989999890327454,0.9290000200271606,0.6489999890327454,0.597000002861023,0.6399999856948853,0.10100000351667404,0.5899999737739563,0.49900001287460327,0.35899999737739563,0.4101449251174927,0.8500000238418579,0.3580000102519989,0.5410000085830688,0.8870000243186951,0.8433395624160767,0.7070000171661377,0.4830000102519989,0.6269999742507935,0.6209999918937683,0.7419999837875366,0.23499999940395355,0.6710000038146973,0.6200000047683716,0.972000002861023
gte-large-en-v1.5,0.75,0.34029850363731384,0.6330000162124634,0.9520000219345093,0.9070000052452087,0.6320000290870667,0.5649999976158142,0.47699999809265137,0.2160000056028366,0.5899999737739563,0.453000009059906,0.3610000014305115,0.47101449966430664,0.9419999718666077,0.3889999985694885,0.5809999704360962,0.8560000061988831,0.8733583688735962,0.8115000128746033,0.44999998807907104,0.6620000004768372,0.7519999742507935,0.8159999847412109,0.4690000116825104,0.8240000009536743,0.6150000095367432,0.9309999942779541
gte-modernbert-base,0.7580000162124634,0.32238805294036865,0.6119999885559082,0.9520000219345093,0.9229999780654907,0.6320000290870667,0.6259999871253967,0.6320000290870667,0.13199999928474426,0.5180000066757202,0.5,0.39800000190734863,0.6376811861991882,0.9089999794960022,0.38499999046325684,0.6489999890327454,0.8790000081062317,0.8189493417739868,0.7404999732971191,0.4749999940395355,0.6679999828338623,0.6349999904632568,0.546999990940094,0.15700000524520874,0.5519999861717224,0.6029999852180481,0.9589999914169312
