mdl,agnews,amazon_counterfactual,amazon_massive_scenario,amazonpolarity,appreviews,banking77,biasframes_intent,biasframes_offensive,biasframes_sex,capsotu,emotiondair,empathetic,financialphrasebank,imdb,manifesto,massive,mtop_domain,rottentomatoes,toxic_conversations_50k,trueteacher,tweet_sentiment_extraction,wikitoxic_insult,wikitoxic_obscene,wikitoxic_threat,wikitoxic_toxicaggregated,yahootopics,yelpreviews
bert-large-uncased,0.1733286827802658,0.24903321266174316,0.03296012431383133,0.4174703061580658,0.3561461567878723,0.018178250640630722,0.4225161075592041,0.48243170976638794,0.4775339663028717,0.029290905222296715,0.15561828017234802,0.004449524451047182,0.28309521079063416,0.3809039890766144,0.010123563930392265,0.00435608671978116,0.07880379259586334,0.470112681388855,0.44223901629447937,0.330655962228775,0.40998488664627075,0.513670027256012,0.5768487453460693,0.48799997568130493,0.5338317155838013,0.07909613102674484,0.3607291579246521
deberta-v3-large,0.17695730924606323,0.5076156854629517,0.022733645513653755,0.32750505208969116,0.3674790859222412,0.013612989336252213,0.4524354040622711,0.49342963099479675,0.12474705278873444,0.011082805693149567,0.09953004121780396,0.001996611710637808,0.30083930492401123,0.32750505208969116,0.014533760026097298,0.00026939655072055757,0.06766538321971893,0.348673939704895,0.48917675018310547,0.335989385843277,0.31185320019721985,0.5521674156188965,0.5574002265930176,0.5052158236503601,0.5285928845405579,0.025485241785645485,0.3683379292488098
ModernBERT-large,0.0974235087633133,0.45261436700820923,0.07167492061853409,0.327052503824234,0.4414460361003876,0.024128366261720657,0.38095057010650635,0.5311391353607178,0.46369731426239014,0.010429216548800468,0.05838332325220108,0.00730061624199152,0.3026798963546753,0.3390614688396454,0.006052697543054819,0.01675228402018547,0.10530678927898407,0.35531824827194214,0.427348792552948,0.3628002405166626,0.16465863585472107,0.4587130546569824,0.5835974216461182,0.13308370113372803,0.6016994714736938,0.0799928605556488,0.4339780807495117
bart-large-mnli,0.7090643048286438,0.15155631303787231,0.5405699014663696,0.9329510927200317,0.9209651350975037,0.2827707529067993,0.6016557216644287,0.3668980002403259,0.07344245910644531,0.33400794863700867,0.43902286887168884,0.384743332862854,0.46504926681518555,0.9289840459823608,0.08716775476932526,0.411138653755188,0.8368948698043823,0.8316553235054016,0.49905434250831604,0.5149956345558167,0.537959098815918,0.3302880525588989,0.689961314201355,0.0839853435754776,0.5524932146072388,0.27278462052345276,0.9589999914169312
nli-roberta-base,0.693808913230896,0.21881893277168274,0.24948441982269287,0.886974573135376,0.8939982652664185,0.06683805584907532,0.5059967637062073,0.46795955300331116,0.18175822496414185,0.13537120819091797,0.3415570557117462,0.31791791319847107,0.503407895565033,0.8319670557975769,0.017918219789862633,0.32371756434440613,0.410012423992157,0.798117995262146,0.6550894975662231,0.45594465732574463,0.5189624428749084,0.5442176461219788,0.7121915817260742,0.13583959639072418,0.6956897974014282,0.34989988803863525,0.8856909275054932
bert-base-uncased-nli,0.6833652257919312,0.19995658099651337,0.23329594731330872,0.862488329410553,0.8378125429153442,0.011304003186523914,0.5621905326843262,0.5668436288833618,0.4279535114765167,0.011852134019136429,0.36164164543151855,0.15012234449386597,0.4313048720359802,0.7927390336990356,0.001060847076587379,0.32235872745513916,0.6408779621124268,0.754468560218811,0.5232468247413635,0.3365929126739502,0.5859357118606567,0.7606723308563232,0.7538200616836548,0.26134955883026123,0.611831545829773,0.33737125992774963,0.8869591951370239
bert-large-uncased-nli,0.7425510883331299,0.4157741665840149,0.4016559422016144,0.83831787109375,0.8546218872070312,0.07846608012914658,0.6058075428009033,0.5404279828071594,0.5755754113197327,0.1265260875225067,0.4244973361492157,0.12168917059898376,0.6403998136520386,0.8048792481422424,0.01616549678146839,0.375482976436615,0.4192730784416199,0.7067925333976746,0.46734923124313354,0.39294764399528503,0.6102933287620544,0.814115047454834,0.7814091444015503,0.5536200404167175,0.6412836313247681,0.21358641982078552,0.8967098593711853
bert-large-uncased-nli-triplet,0.7285709381103516,0.384902685880661,0.3063317835330963,0.8373348712921143,0.8499616384506226,0.062161438167095184,0.6038716435432434,0.6369782090187073,0.4285886883735657,0.13261830806732178,0.2828684151172638,0.1955133080482483,0.5776402950286865,0.7798857092857361,0.018068579956889153,0.36915647983551025,0.49423226714134216,0.7154526710510254,0.5297268033027649,0.36477410793304443,0.6139540672302246,0.7261716723442078,0.8325483202934265,0.39473915100097656,0.7741836905479431,0.3332909643650055,0.8968430757522583
deberta-v3-base-nli,0.7646851539611816,0.14758269488811493,0.4771553575992584,0.89799964427948,0.9099708199501038,0.12482473254203796,0.4608410596847534,0.5039682388305664,0.4438576102256775,0.16506196558475494,0.3779505789279938,0.28930890560150146,0.67685467004776,0.9139721393585205,0.03519533574581146,0.3414219319820404,0.675718367099762,0.8234999775886536,0.6914591789245605,0.3327486515045166,0.5394366979598999,0.6774438619613647,0.8274722099304199,0.37141063809394836,0.7829363942146301,0.45720019936561584,0.9299719333648682
deberta-v3-large-nli,0.814592182636261,0.15943224728107452,0.5097894072532654,0.9227490425109863,0.9279815554618835,0.34563589096069336,0.6648926734924316,0.5448735952377319,0.27395033836364746,0.2141467034816742,0.440132737159729,0.43911874294281006,0.8026540279388428,0.9023271799087524,0.05605190992355347,0.4177260398864746,0.7432827353477478,0.8481759428977966,0.7266356945037842,0.3410828411579132,0.6207084059715271,0.6007736921310425,0.8187779784202576,0.31557148694992065,0.7974669933319092,0.5326335430145264,0.9829909801483154
deberta-v3-large-nli-triplet,0.8319669365882874,0.3432309031486511,0.5623114109039307,0.9288427829742432,0.929977297782898,0.23813845217227936,0.6989635825157166,0.6438407301902771,0.2731889486312866,0.24564850330352783,0.4229159951210022,0.41471126675605774,0.7889612913131714,0.9268383979797363,0.059760164469480515,0.4035292863845825,0.4949427843093872,0.8374935388565063,0.7164756059646606,0.4128504991531372,0.5758254528045654,0.6911536455154419,0.8422045707702637,0.4374711513519287,0.8225740194320679,0.2758510410785675,0.980995774269104
modernbert-base-nli,0.7388247847557068,0.6130094528198242,0.3452880382537842,0.9107679128646851,0.907821536064148,0.10325706750154495,0.4637435972690582,0.5483788847923279,0.6421589255332947,0.11951573193073273,0.2848603427410126,0.29507842659950256,0.6012195348739624,0.890692949295044,0.015092020854353905,0.2466864287853241,0.45006126165390015,0.7408660054206848,0.6833003759384155,0.4156147837638855,0.5385338068008423,0.7499749660491943,0.6825619339942932,0.2855295240879059,0.7495993375778198,0.4015524387359619,0.9599224328994751
modernbert-large-nli,0.7555487155914307,0.4157741665840149,0.41822999715805054,0.9326210021972656,0.9196913242340088,0.21216264367103577,0.6310776472091675,0.4208526611328125,0.4431055784225464,0.03901638463139534,0.2996448278427124,0.30141282081604004,0.5391452312469482,0.9136237502098083,0.0924706980586052,0.3598971664905548,0.592676043510437,0.8638569712638855,0.6931955814361572,0.3737006187438965,0.6355735063552856,0.5945841073989868,0.8074331283569336,0.4512676000595093,0.7248871326446533,0.4827136993408203,0.9789742231369019
modernbert-large-nli-triplet,0.706705629825592,0.3895684480667114,0.5005460977554321,0.9287685751914978,0.9197109937667847,0.2112514078617096,0.5957847833633423,0.4505764842033386,0.344501793384552,0.05233711004257202,0.3704449534416199,0.31423282623291016,0.6493753790855408,0.9105490446090698,0.05937906354665756,0.421375036239624,0.6449679732322693,0.8706203699111938,0.6995192170143127,0.40925976634025574,0.6632700562477112,0.6689207553863525,0.8030894994735718,0.4223605990409851,0.7348260283470154,0.24883794784545898,0.9789847135543823
