mdl,agnews,amazon_counterfactual,amazon_massive_scenario,amazonpolarity,appreviews,banking77,biasframes_intent,biasframes_offensive,biasframes_sex,capsotu,emotiondair,empathetic,financialphrasebank,imdb,manifesto,massive,mtop_domain,rottentomatoes,toxic_conversations_50k,trueteacher,tweet_sentiment_extraction,wikitoxic_insult,wikitoxic_obscene,wikitoxic_threat,wikitoxic_toxicaggregated,yahootopics,yelpreviews
bert-large-uncased,0.18101249635219574,0.4900861382484436,0.03858058899641037,0.45232418179512024,0.6707152128219604,0.024572160094976425,0.44649267196655273,0.5492086410522461,0.47016459703445435,0.03952052816748619,0.19275575876235962,0.017377490177750587,0.3822284936904907,0.5534566044807434,0.027149589732289314,0.0035814912989735603,0.11032882332801819,0.5296506881713867,0.5969555974006653,0.24699999392032623,0.46136003732681274,0.532223105430603,0.576836109161377,0.5120319724082947,0.5577073097229004,0.10962779074907303,0.5814134478569031
deberta-v3-large,0.3849303424358368,0.512172281742096,0.07809656858444214,0.2434999942779541,0.5810298919677734,0.017147816717624664,0.49129319190979004,0.5624772310256958,0.5025225281715393,0.008429675363004208,0.09975472092628479,0.0010312499944120646,0.3182830214500427,0.2434999942779541,0.016682803630828857,0.0001436781749362126,0.07087355852127075,0.5317261815071106,0.5057071447372437,0.2529999911785126,0.3195223808288574,0.6584779024124146,0.661960780620575,0.509821355342865,0.6169651746749878,0.037696730345487595,0.5845311880111694
ModernBERT-large,0.060499999672174454,0.4134328365325928,0.07754817605018616,0.2432432472705841,0.4940873980522156,0.047780826687812805,0.587581217288971,0.5540754795074463,0.49897047877311707,0.015122896060347557,0.06987837702035904,0.0055073220282793045,0.29453587532043457,0.2565000057220459,0.021486753597855568,0.04419608414173126,0.22332754731178284,0.5,0.49322986602783203,0.5316318273544312,0.109333336353302,0.4683747887611389,0.583702564239502,0.49720510840415955,0.6097927093505859,0.06552055478096008,0.5610920190811157
bart-large-mnli,0.7674412727355957,0.5868263244628906,0.6679467558860779,0.9329754114151001,0.9213510751724243,0.47028210759162903,0.6472827196121216,0.7840681076049805,0.5295014977455139,0.5878989696502686,0.4808715879917145,0.4803498387336731,0.6390920877456665,0.9289548397064209,0.217774897813797,0.5630237460136414,0.8441347479820251,0.8441861867904663,0.6812313795089722,0.5150365233421326,0.6437610983848572,0.6248708963394165,0.7562661170959473,0.5229166746139526,0.7446534633636475,0.5333313345909119,0.9597244262695312
nli-roberta-base,0.7239819169044495,0.5259244441986084,0.43887677788734436,0.8889477252960205,0.8941649198532104,0.13073302805423737,0.531976044178009,0.5809751749038696,0.5289124250411987,0.25667986273765564,0.4731428325176239,0.4316464066505432,0.6112631559371948,0.8319753408432007,0.0878804549574852,0.4719012379646301,0.4628889560699463,0.7994593381881714,0.6562439203262329,0.4758465588092804,0.6056304574012756,0.6994266510009766,0.7184909582138062,0.5242825746536255,0.7286233305931091,0.4634127914905548,0.8943545818328857
bert-base-uncased-nli,0.7304670810699463,0.5292267799377441,0.34321093559265137,0.8651169538497925,0.8389803171157837,0.03405291587114334,0.5710198879241943,0.5809178352355957,0.5509116649627686,0.06236717849969864,0.44819334149360657,0.3597811758518219,0.6084808111190796,0.7973349690437317,0.009742955677211285,0.5441672801971436,0.7575291395187378,0.7682543992996216,0.6505593657493591,0.4464646577835083,0.6742497086524963,0.7789746522903442,0.7689436674118042,0.5267128944396973,0.7087802886962891,0.45285505056381226,0.8868997097015381
bert-large-uncased-nli,0.7552778124809265,0.5476767420768738,0.6135662198066711,0.8487353324890137,0.8577853441238403,0.166195347905159,0.6058303117752075,0.5906268954277039,0.585429847240448,0.32240763306617737,0.45579445362091064,0.33087220788002014,0.630742609500885,0.8359606266021729,0.07381048053503036,0.5340158343315125,0.652542769908905,0.7554200887680054,0.6485443115234375,0.4967177212238312,0.663260281085968,0.8231396079063416,0.7978278994560242,0.5720260143280029,0.7500104904174805,0.4941094219684601,0.8985104560852051
bert-large-uncased-nli-triplet,0.7486485242843628,0.5742552876472473,0.5694993734359741,0.8558336496353149,0.8501056432723999,0.10687083750963211,0.6096311807632446,0.6752663850784302,0.5510167479515076,0.17876844108104706,0.39974313974380493,0.34211501479148865,0.6094277501106262,0.824999213218689,0.06057813763618469,0.4527166485786438,0.7017204165458679,0.7657798528671265,0.6720412373542786,0.47578948736190796,0.6625604033470154,0.7873606085777283,0.8306154608726501,0.5400728583335876,0.7908857464790344,0.4121311902999878,0.8973985910415649
deberta-v3-base-nli,0.7633499503135681,0.08656716346740723,0.6209088563919067,0.8987488746643066,0.9109716415405273,0.23179928958415985,0.5807955861091614,0.6127842664718628,0.5521162152290344,0.37529000639915466,0.4566940665245056,0.4639076590538025,0.6758581399917603,0.9139114022254944,0.13150320947170258,0.49014008045196533,0.7852582931518555,0.8246683478355408,0.6916013956069946,0.3890807032585144,0.6463808417320251,0.7694025039672852,0.8272578120231628,0.5374786853790283,0.7942668199539185,0.5088838934898376,0.9327430725097656
deberta-v3-large-nli,0.8132357597351074,0.5873494148254395,0.6070021986961365,0.9251483678817749,0.9281506538391113,0.4481724798679352,0.7091915607452393,0.6968613862991333,0.5381578803062439,0.41052955389022827,0.4692642092704773,0.5569407939910889,0.7762570381164551,0.9092003107070923,0.10709811747074127,0.5689337849617004,0.7898792028427124,0.8564063906669617,0.7372063994407654,0.6646546125411987,0.69362473487854,0.7445706129074097,0.8296204805374146,0.5326409339904785,0.8141666650772095,0.5630514621734619,0.9829331636428833
